frame,sci,sci_updated,tier,confidence,nms,input_h,input_w,tracked_boxes,crowd,tiny,edge_norm,night,blur,sci_raw,laplacian_variance,frame_wall_ms,sequence
11,0.5194358970437767,1,baseline,0.09,0.7,896,1600,37,1.0,0.1891891891891892,1.0,0.0,0.0,0.6051584151495029,2013.9189768273463,208.70514299986095,uav0000086_00000_v
21,0.5483985166128931,1,baseline,0.09,0.7,896,1600,36,1.0,0.1944444444444444,1.0,0.0,0.0,0.606323755751126,1983.4898701343247,218.6497610000515,uav0000086_00000_v
31,0.5640867863062753,1,baseline,0.09,0.7,896,1600,37,1.0,0.2162162162162162,1.0,0.0,0.0,0.6111515953864217,1955.7260290690351,258.0614130001777,uav0000086_00000_v
41,0.570913217704266,1,baseline,0.09,0.7,896,1600,37,1.0,0.1578947368421052,1.0,0.0,0.0,0.5982189432962284,1969.9895655410432,273.338221999893,uav0000086_00000_v
51,0.5756218872389857,1,baseline,0.09,0.7,896,1600,37,1.0,0.1621621621621621,1.0,0.0,0.0,0.599165234912584,1992.2956169150916,213.26727699988623,uav0000086_00000_v
61,0.5789852226209282,1,baseline,0.09,0.7,896,1600,37,1.0,0.1621621621621621,1.0,0.0,0.0,0.599165234912584,1996.1418769499007,209.1418239997438,uav0000086_00000_v
71,0.6027638968134073,1,baseline,0.09,0.7,896,1600,36,1.0,0.1666666666666666,1.0,0.0,0.0,0.6001640982854037,1921.0772283818576,215.6091879996893,uav0000086_00000_v
81,0.6019077282081332,1,baseline,0.09,0.7,896,1600,37,1.0,0.1621621621621621,1.0,0.0,0.0,0.599165234912584,1948.2135562799908,212.26192799986163,uav0000086_00000_v
91,0.6007498978574335,1,baseline,0.09,0.7,896,1600,38,1.0,0.1578947368421052,1.0,0.0,0.0,0.5982189432962284,1946.6834045040805,260.69176800001514,uav0000086_00000_v
101,0.5987741241529546,1,baseline,0.09,0.7,896,1600,39,1.0,0.1538461538461538,1.0,0.0,0.0,0.5973211794550704,1966.510790221438,245.757114999833,uav0000086_00000_v
111,0.5986458721756465,1,baseline,0.09,0.7,896,1600,39,1.0,0.1538461538461538,1.0,0.0,0.0,0.5973211794550704,1962.884929966252,222.61464200028055,uav0000086_00000_v
121,0.599542810714505,1,baseline,0.09,0.7,896,1600,43,1.0,0.1904761904761904,1.0,0.0,0.0,0.6054438046845942,1986.497384844824,228.14244999972288,uav0000086_00000_v
131,0.601772831267777,1,baseline,0.09,0.7,896,1600,45,1.0,0.2325581395348837,1.0,0.0,0.0,0.6147753787854889,1955.554051584334,213.1633460003286,uav0000086_00000_v
141,0.6030927578675749,1,baseline,0.09,0.7,896,1600,46,1.0,0.2083333333333333,1.0,0.0,0.0,0.609403584483987,1979.9628020398436,207.5225609996778,uav0000086_00000_v
151,0.6038954159350193,1,baseline,0.09,0.7,896,1600,48,1.0,0.1875,1.0,0.0,0.0,0.6047838413846954,2027.5574964753848,209.00741000014025,uav0000086_00000_v
161,0.6057801623841581,1,baseline,0.09,0.7,896,1600,47,1.0,0.217391304347826,1.0,0.0,0.0,0.6114121684402007,1998.8190142594465,271.10885100000814,uav0000086_00000_v
171,0.6081661835453307,1,baseline,0.09,0.7,896,1600,50,1.0,0.2291666666666666,1.0,0.0,0.0,0.6140233275832787,2021.2112102121228,267.4153389998537,uav0000086_00000_v
181,0.6115289503903536,1,baseline,0.09,0.7,896,1600,50,1.0,0.26,1.0,0.0,0.0,0.6208605473702303,2022.9578536732613,224.1804180002873,uav0000086_00000_v
191,0.6138994308144801,1,baseline,0.09,0.7,896,1600,48,1.0,0.2653061224489796,1.0,0.0,0.0,0.6220371676534785,2057.800867935836,212.87938500017844,uav0000086_00000_v
201,0.6159185433392349,1,baseline,0.09,0.7,896,1600,53,1.0,0.2962962962962963,1.0,0.0,0.0,0.628909166458774,2067.577310945453,217.4397050002881,uav0000086_00000_v
211,0.617555252322984,1,baseline,0.09,0.7,896,1600,50,1.0,0.26,1.0,0.0,0.0,0.6208605473702303,2071.0440643109,214.76489299993773,uav0000086_00000_v
221,0.6195351422226805,1,baseline,0.09,0.7,896,1600,52,1.0,0.25,1.0,0.0,0.0,0.6186430706825703,2108.330086979114,221.32003699971392,uav0000086_00000_v
231,0.6208849106412561,1,baseline,0.09,0.7,896,1600,50,1.0,0.26,1.0,0.0,0.0,0.6208605473702303,2111.232667321043,267.99835500014524,uav0000086_00000_v
241,0.6221540708333693,1,baseline,0.09,0.7,896,1600,52,1.0,0.2692307692307692,1.0,0.0,0.0,0.6229074489280704,2123.315804545164,262.23671899970213,uav0000086_00000_v
251,0.6238905076046585,1,baseline,0.09,0.7,896,1600,55,1.0,0.3148148148148148,1.0,0.0,0.0,0.6330156047692554,2135.2106648672275,223.4196399999746,uav0000086_00000_v
261,0.6248722217197008,1,baseline,0.09,0.7,896,1600,54,1.0,0.2962962962962963,1.0,0.0,0.0,0.628909166458774,2113.37568893298,217.8322549998484,uav0000086_00000_v
271,0.625277532513982,1,baseline,0.09,0.7,896,1600,55,1.0,0.3090909090909091,1.0,0.0,0.0,0.631746342018743,2133.87275545744,229.50802300010764,uav0000086_00000_v
281,0.6279647210123286,1,baseline,0.09,0.7,896,1600,58,1.0,0.3448275862068966,1.0,0.0,0.0,0.6396708668586565,2127.9393512819192,213.58373099974412,uav0000086_00000_v
291,0.6311603327802596,1,baseline,0.09,0.7,896,1600,57,1.0,0.3508771929824561,1.0,0.0,0.0,0.6410123530580878,2138.654402936534,280.87568999990253,uav0000086_00000_v
301,0.6338475212786062,1,baseline,0.09,0.7,896,1600,58,1.0,0.3448275862068966,1.0,0.0,0.0,0.6396708668586565,2080.148159895692,262.49819599979674,uav0000086_00000_v
311,0.6372630186087257,1,baseline,0.09,0.7,896,1600,62,1.0,0.3770491803278688,1.0,0.0,0.0,0.6468159302389063,2028.5007780194069,231.68020699995395,uav0000086_00000_v
321,0.639358140195706,1,baseline,0.09,0.7,896,1600,63,1.0,0.3809523809523809,1.0,0.0,0.0,0.6476814558781179,1990.4962650055024,228.67993899990324,uav0000086_00000_v
331,0.6416685758165483,1,baseline,0.09,0.7,896,1600,63,1.0,0.3692307692307692,1.0,0.0,0.0,0.6450822158046703,1949.4908959057664,217.7278619997196,uav0000086_00000_v
341,0.6443406895172414,1,baseline,0.09,0.7,896,1600,63,1.0,0.3934426229508196,1.0,0.0,0.0,0.6504511379235949,1919.6973720359224,219.62488700000904,uav0000086_00000_v
351,0.6470631694217577,1,baseline,0.09,0.7,896,1600,67,1.0,0.4307692307692308,1.0,0.0,0.0,0.6587282261902703,1889.3068713072023,274.4798919998175,uav0000086_00000_v
361,0.65038954791165,1,baseline,0.09,0.7,896,1600,67,1.0,0.4558823529411764,1.0,0.0,0.0,0.6642970024873349,1881.8099520613532,280.96511700005067,uav0000086_00000_v
371,0.6528302742535174,1,baseline,0.09,0.7,896,1600,64,1.0,0.421875,1.0,0.0,0.0,0.6567559512517265,1848.2214000424665,229.3263950000437,uav0000086_00000_v
381,0.6548052463939001,1,baseline,0.09,0.7,896,1600,64,1.0,0.4393939393939394,1.0,0.0,0.0,0.6606407352215854,1829.7663914650316,222.47860500010572,uav0000086_00000_v
391,0.6560217686056952,1,baseline,0.09,0.7,896,1600,62,1.0,0.4193548387096774,1.0,0.0,0.0,0.6561971113606831,1843.726499737246,225.60646700003417,uav0000086_00000_v
401,0.6589459136883236,1,baseline,0.09,0.7,896,1600,64,1.0,0.4615384615384615,1.0,0.0,0.0,0.6655512313830703,1855.6989022482423,222.5356720000491,uav0000086_00000_v
411,0.6611394398605344,1,baseline,0.09,0.7,896,1600,64,1.0,0.4626865671641791,1.0,0.0,0.0,0.6658058211290702,1859.869026610845,250.04371600016384,uav0000086_00000_v
421,0.6612887913566902,1,baseline,0.09,0.7,896,1600,62,1.0,0.4354838709677419,1.0,0.0,0.0,0.6597736866633606,1883.332486988478,286.9940800001132,uav0000086_00000_v
431,0.6589151418410877,1,baseline,0.09,0.7,896,1600,64,1.0,0.3809523809523809,1.0,0.0,0.0,0.6476814558781179,1901.839324901115,230.15188299996225,uav0000086_00000_v
441,0.6594701109796389,1,baseline,0.09,0.7,896,1600,66,1.0,0.4393939393939394,1.0,0.0,0.0,0.6606407352215854,1949.7742052686056,227.9227099998025,uav0000086_00000_v
451,0.659992434874746,1,baseline,0.09,0.7,896,1600,68,1.0,0.4558823529411764,1.0,0.0,0.0,0.6642970024873349,1966.9895842875192,221.5973719999056,uav0000086_00000_v
