frame,sci,sci_updated,tier,confidence,nms,input_h,input_w,tracked_boxes,crowd,tiny,edge_norm,night,blur,sci_raw,laplacian_variance,frame_wall_ms
1,0.43371337893805056,1,easy,0.15,0.7,704,1280,37,0.0,0.0,1.0,0.0,0.0,0.43371337893805056,1694.0562434689834,145.8624080005393
2,0.43371337893805056,0,easy,0.15,0.7,704,1280,44,,,,,,,,151.67185199970845
3,0.43371337893805056,0,easy,0.15,0.7,704,1280,43,,,,,,,,233.22371500034933
4,0.43371337893805056,0,easy,0.15,0.7,704,1280,43,,,,,,,,495.08911600059946
5,0.43371337893805056,0,easy,0.15,0.7,704,1280,47,,,,,,,,158.5501240006124
6,0.43371337893805056,0,easy,0.15,0.7,704,1280,45,,,,,,,,150.4429420001543
7,0.43371337893805056,0,easy,0.15,0.7,704,1280,44,,,,,,,,151.96591899984924
8,0.43371337893805056,0,easy,0.15,0.7,704,1280,43,,,,,,,,146.3716870002827
9,0.43371337893805056,0,easy,0.15,0.7,704,1280,50,,,,,,,,155.14948799864214
10,0.43371337893805056,0,easy,0.15,0.7,704,1280,45,,,,,,,,147.11616299973684
11,0.6019420116386935,1,hard,0.09,0.6,896,1600,45,1.0,0.9333333333333333,1.0,0.0,0.0,0.7701706443393366,1738.4775978928517,272.6192490008543
12,0.6019420116386935,0,hard,0.09,0.6,896,1600,47,,,,,,,,258.08055300149135
13,0.6019420116386935,0,hard,0.09,0.6,896,1600,45,,,,,,,,246.30484899898875
14,0.6019420116386935,0,hard,0.09,0.6,896,1600,44,,,,,,,,234.96078500102158
15,0.6019420116386935,0,hard,0.09,0.6,896,1600,43,,,,,,,,236.92084699905536
16,0.6019420116386935,0,hard,0.09,0.6,896,1600,43,,,,,,,,235.48364599992055
17,0.6019420116386935,0,hard,0.09,0.6,896,1600,47,,,,,,,,237.26770500070415
18,0.6019420116386935,0,hard,0.09,0.6,896,1600,46,,,,,,,,245.65652499950374
19,0.6019420116386935,0,hard,0.09,0.6,896,1600,48,,,,,,,,232.7422150010534
20,0.6019420116386935,0,hard,0.09,0.6,896,1600,49,,,,,,,,240.28085299869417
21,0.6569119983409822,1,hard,0.09,0.6,896,1600,46,1.0,0.9183673469387755,1.0,0.0,0.0,0.7668519717455597,1834.7758537942007,245.85770200064871
22,0.6569119983409822,0,hard,0.09,0.6,896,1600,50,,,,,,,,243.04930600010266
23,0.6569119983409822,0,hard,0.09,0.6,896,1600,45,,,,,,,,240.88472899893532
24,0.6569119983409822,0,hard,0.09,0.6,896,1600,43,,,,,,,,244.06516199996986
25,0.6569119983409822,0,hard,0.09,0.6,896,1600,44,,,,,,,,325.8753580012126
26,0.6569119983409822,0,hard,0.09,0.6,896,1600,47,,,,,,,,296.9991400004801
27,0.6569119983409822,0,hard,0.09,0.6,896,1600,49,,,,,,,,296.73443299907376
28,0.6569119983409822,0,hard,0.09,0.6,896,1600,49,,,,,,,,305.23446000006516
29,0.6569119983409822,0,hard,0.09,0.6,896,1600,49,,,,,,,,303.3384809987183
30,0.6569119983409822,0,hard,0.09,0.6,896,1600,50,,,,,,,,287.17915500055824
31,0.6844875009446842,1,hard,0.09,0.6,896,1600,50,1.0,0.92,1.0,0.0,0.0,0.7672140087557899,1882.9950643947186,299.62043199884647
32,0.6844875009446842,0,hard,0.09,0.6,896,1600,52,,,,,,,,298.5092660001101
33,0.6844875009446842,0,hard,0.09,0.6,896,1600,48,,,,,,,,284.21553500083974
34,0.6844875009446842,0,hard,0.09,0.6,896,1600,53,,,,,,,,302.52723100056755
35,0.6844875009446842,0,hard,0.09,0.6,896,1600,55,,,,,,,,302.4334900001122
36,0.6844875009446842,0,hard,0.09,0.6,896,1600,55,,,,,,,,305.2534550006385
37,0.6844875009446842,0,hard,0.09,0.6,896,1600,58,,,,,,,,305.5406990006304
38,0.6844875009446842,0,hard,0.09,0.6,896,1600,58,,,,,,,,296.4976779985591
39,0.6844875009446842,0,hard,0.09,0.6,896,1600,60,,,,,,,,295.5519480001385
40,0.6844875009446842,0,hard,0.09,0.6,896,1600,59,,,,,,,,239.70976600139693
41,0.7015740171560969,1,hard,0.09,0.6,896,1600,58,1.0,0.9322033898305084,1.0,0.0,0.0,0.7699200820017478,1900.7128896423944,248.8415839998197
42,0.7015740171560969,0,hard,0.09,0.6,896,1600,57,,,,,,,,243.195414001093
43,0.7015740171560969,0,hard,0.09,0.6,896,1600,54,,,,,,,,238.3969540005637
44,0.7015740171560969,0,hard,0.09,0.6,896,1600,53,,,,,,,,241.49112599843647
45,0.7015740171560969,0,hard,0.09,0.6,896,1600,56,,,,,,,,236.290626000482
46,0.7015740171560969,0,hard,0.09,0.6,896,1600,56,,,,,,,,240.33583200071007
47,0.7015740171560969,0,hard,0.09,0.6,896,1600,57,,,,,,,,235.96141199959675
48,0.7015740171560969,0,hard,0.09,0.6,896,1600,56,,,,,,,,264.35271599984844
49,0.7015740171560969,0,hard,0.09,0.6,896,1600,60,,,,,,,,244.3803130008746
50,0.7015740171560969,0,hard,0.09,0.6,896,1600,60,,,,,,,,241.00019599973166
51,0.7130067883533036,1,hard,0.09,0.6,896,1600,64,1.0,0.9333333333333333,1.0,0.0,0.0,0.7701706443393366,2061.676325373419,238.06974599938258
52,0.7130067883533036,0,hard,0.09,0.6,896,1600,62,,,,,,,,235.4128029983258
53,0.7130067883533036,0,hard,0.09,0.6,896,1600,66,,,,,,,,237.4881589985307
54,0.7130067883533036,0,hard,0.09,0.6,896,1600,66,,,,,,,,246.5021619991603
55,0.7130067883533036,0,hard,0.09,0.6,896,1600,63,,,,,,,,234.7461649987963
56,0.7130067883533036,0,hard,0.09,0.6,896,1600,66,,,,,,,,241.5603249992273
57,0.7130067883533036,0,hard,0.09,0.6,896,1600,61,,,,,,,,237.49275499903888
58,0.7130067883533036,0,hard,0.09,0.6,896,1600,61,,,,,,,,235.7901010000205
59,0.7130067883533036,0,hard,0.09,0.6,896,1600,65,,,,,,,,245.3737119994912
60,0.7130067883533036,0,hard,0.09,0.6,896,1600,66,,,,,,,,242.39961300008872
61,0.7213650428177724,1,hard,0.09,0.6,896,1600,61,1.0,0.9393939393939394,1.0,0.0,0.0,0.7715145696045851,1981.1675784941322,255.32434900014778
62,0.7213650428177724,0,hard,0.09,0.6,896,1600,62,,,,,,,,244.51233399850025
63,0.7213650428177724,0,hard,0.09,0.6,896,1600,59,,,,,,,,237.05638800129236
64,0.7213650428177724,0,hard,0.09,0.6,896,1600,63,,,,,,,,243.0935110005521
65,0.7213650428177724,0,hard,0.09,0.6,896,1600,64,,,,,,,,233.60646899891435
66,0.7213650428177724,0,hard,0.09,0.6,896,1600,68,,,,,,,,239.3045489989163
67,0.7213650428177724,0,hard,0.09,0.6,896,1600,64,,,,,,,,239.52429199925973
68,0.7213650428177724,0,hard,0.09,0.6,896,1600,66,,,,,,,,237.59692599924165
69,0.7213650428177724,0,hard,0.09,0.6,896,1600,65,,,,,,,,244.53309499949683
70,0.7213650428177724,0,hard,0.09,0.6,896,1600,67,,,,,,,,245.92478799968376
71,0.7696510108930606,1,hard,0.09,0.6,896,1600,66,1.0,0.9402985074626866,1.0,0.0,0.0,0.7717151554650699,1953.7793640603566,245.03564099904906
72,0.7696510108930606,0,hard,0.09,0.6,896,1600,67,,,,,,,,239.34684099913284
73,0.7696510108930606,0,hard,0.09,0.6,896,1600,68,,,,,,,,235.31126499983657
74,0.7696510108930606,0,hard,0.09,0.6,896,1600,67,,,,,,,,257.95725700118055
75,0.7696510108930606,0,hard,0.09,0.6,896,1600,63,,,,,,,,239.86873500143702
76,0.7696510108930606,0,hard,0.09,0.6,896,1600,56,,,,,,,,241.69490700114693
77,0.7696510108930606,0,hard,0.09,0.6,896,1600,59,,,,,,,,235.23831899910874
78,0.7696510108930606,0,hard,0.09,0.6,896,1600,60,,,,,,,,246.55817900020338
79,0.7696510108930606,0,hard,0.09,0.6,896,1600,61,,,,,,,,239.6712280005886
80,0.7696510108930606,0,hard,0.09,0.6,896,1600,62,,,,,,,,256.6742229992087
81,0.7692081968079674,1,hard,0.09,0.6,896,1600,60,1.0,0.9193548387096774,1.0,0.0,0.0,0.7670709457436828,1975.7726207895137,296.39416899954085
82,0.7692081968079674,0,hard,0.09,0.6,896,1600,64,,,,,,,,319.44435500008694
83,0.7692081968079674,0,hard,0.09,0.6,896,1600,66,,,,,,,,299.2793889989116
84,0.7692081968079674,0,hard,0.09,0.6,896,1600,65,,,,,,,,292.9759890012065
85,0.7692081968079674,0,hard,0.09,0.6,896,1600,62,,,,,,,,309.2453229983221
86,0.7692081968079674,0,hard,0.09,0.6,896,1600,67,,,,,,,,320.5163940001512
87,0.7692081968079674,0,hard,0.09,0.6,896,1600,61,,,,,,,,306.4255890003551
88,0.7692081968079674,0,hard,0.09,0.6,896,1600,62,,,,,,,,303.00498100041295
89,0.7692081968079674,0,hard,0.09,0.6,896,1600,65,,,,,,,,301.8524590006564
90,0.7692081968079674,0,hard,0.09,0.6,896,1600,65,,,,,,,,305.8825900006923
91,0.7688700303698404,1,hard,0.09,0.6,896,1600,66,1.0,0.9076923076923077,1.0,0.0,0.0,0.7644848066786698,2009.5613875161941,312.5387399995816
