number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_conf_easy,params_conf_hard,params_nms_easy,params_nms_hard,params_raw_blur,params_raw_crowd,params_raw_edge,params_raw_night,params_raw_tiny,params_threshold_a,params_threshold_b,user_attrs_AssA,user_attrs_DetA,user_attrs_FN,user_attrs_FP,user_attrs_FPS,user_attrs_HOTA,user_attrs_IDF1,user_attrs_IDS,user_attrs_MOTA,user_attrs_empirical_params,user_attrs_feasible,user_attrs_mean_conf,user_attrs_mean_imgsz,user_attrs_mean_nms_iou,state
0,0.13291261415101344,147.0,55.59498495619079,2026-09-11 12:15:35.448788,2026-09-11 12:17:58.575014,0 days 00:02:23.126226,0.35,0.3,0.55,0.35,0.15601864044243652,0.3745401188473625,0.7319939418114051,0.5986584841970366,0.9507143064099162,0.9488855372533332,0.9656320330745594,0.44947414474969216,0.13355040035555182,55882.0,2365.0,55.59498495619079,0.24349673878348596,0.23729565249528783,147.0,0.13291261415101344,"{'weight_crowd': 0.13319702814025883, 'weight_tiny': 0.33810081711389406, 'weight_edge': 0.26031768763785473, 'weight_night': 0.2128998389048247, 'weight_blur': 0.05548462820316767, 'conf_easy': 0.35, 'conf_hard': 0.3, 'nms_easy': 0.55, 'nms_hard': 0.35, 'threshold_mid': 0.9488855372533332, 'threshold_high': 0.9656320330745594}",True,0.33437209540532636,512.0,0.48748838162130576,COMPLETE
1,0.22588165416883213,306.0,39.03705360474564,2026-09-11 12:17:58.784628,2026-09-11 12:20:39.579249,0 days 00:02:40.794621,0.4,0.25,0.3,0.45,0.4401524937396013,0.8083973481164611,0.09767211400638387,0.6842330265121569,0.3046137691733707,0.07455064367977082,0.9868869366005173,0.5129506200151567,0.24865083382181918,43852.0,7975.0,39.03705360474564,0.3534499250537444,0.40259884832967324,306.0,0.22588165416883213,"{'weight_crowd': 0.3461985209559911, 'weight_tiny': 0.13045173465296678, 'weight_edge': 0.04182836755518854, 'weight_night': 0.29302478826739564, 'weight_blur': 0.188496588568458, 'conf_easy': 0.4, 'conf_hard': 0.25, 'nms_easy': 0.3, 'nms_hard': 0.45, 'threshold_mid': 0.07455064367977082, 'threshold_high': 0.9868869366005173}",False,0.3341043449771051,928.0,0.36589565502289495,COMPLETE
2,0.19536713935704209,284.0,42.29753283814666,2026-09-11 12:20:39.746507,2026-09-11 12:23:18.389209,0 days 00:02:38.642702,0.3,0.25,0.45,0.3,0.7068573438476171,0.7722447692966574,0.005522117123602399,0.8154614284548342,0.1987156815341724,0.5085706911647028,0.907566473926093,0.48275842427061966,0.22777717781800463,45816.0,8088.0,42.29753283814666,0.3290338353092004,0.3664528371939523,284.0,0.19536713935704209,"{'weight_crowd': 0.30904608415860246, 'weight_tiny': 0.07952440169323101, 'weight_edge': 0.0022099064197855403, 'weight_night': 0.3263410401288654, 'weight_blur': 0.2828785675995157, 'conf_easy': 0.3, 'conf_hard': 0.25, 'nms_easy': 0.45, 'nms_hard': 0.3, 'threshold_mid': 0.5085706911647028, 'threshold_high': 0.907566473926093}",False,0.27764927297255965,697.7821503865074,0.38294781891767893,COMPLETE
3,0.17487564035934366,148.0,50.21774534721989,2026-09-11 12:23:18.547478,2026-09-11 12:25:48.683753,0 days 00:02:30.136275,0.35,0.4,0.35,0.55,0.07697990982879299,0.24929222914887494,0.7555511385430487,0.22879816549162246,0.41038292303562973,0.363629602379294,0.9717820827209607,0.48886219594128744,0.18245580596793826,50998.0,4422.0,50.21774534721989,0.2969834996218978,0.32196926708582063,148.0,0.17487564035934366,"{'weight_crowd': 0.14485275811434317, 'weight_tiny': 0.23845548049248314, 'weight_edge': 0.4390175605876351, 'weight_night': 0.13294455842492922, 'weight_blur': 0.04472964238060937, 'conf_easy': 0.35, 'conf_hard': 0.4, 'nms_easy': 0.35, 'nms_hard': 0.55, 'threshold_mid': 0.363629602379294, 'threshold_high': 0.9717820827209607}",True,0.36896343678638,673.8102600140548,0.4258537471455198,COMPLETE
4,0.22604499220432103,262.0,41.50298695956867,2026-09-11 12:25:48.857438,2026-09-11 12:28:30.232160,0 days 00:02:41.374722,0.3,0.45,0.4,0.35,0.2848404943774676,0.9624472949421112,0.49724850589238545,0.30087830981676966,0.25178229582536416,0.22649577519793795,0.6451727904094499,0.508210885449634,0.23457893816329478,45879.0,5981.0,41.50298695956867,0.3418211567207876,0.38190986581146086,262.0,0.22604499220432103,"{'weight_crowd': 0.4189659556759254, 'weight_tiny': 0.10960414221861063, 'weight_edge': 0.21645880930254974, 'weight_night': 0.1309762823138509, 'weight_blur': 0.12399481048906338, 'conf_easy': 0.3, 'conf_hard': 0.45, 'nms_easy': 0.4, 'nms_hard': 0.35, 'threshold_mid': 0.22649577519793795, 'threshold_high': 0.6451727904094499}",True,0.3653152167812634,895.1679550245959,0.3782282610729122,COMPLETE
5,0.2268319845571312,284.0,36.221024313837624,2026-09-11 12:28:30.401106,2026-09-11 12:31:27.474382,0 days 00:02:57.073276,0.35,0.3,0.4,0.5,0.13752094414599325,0.17436642900499144,0.3867353463005374,0.9367299887367345,0.690937738102466,0.005061583846218687,0.16080805141749865,0.543797651758084,0.25281711031833726,43559.0,8226.0,36.221024313837624,0.36621222581748436,0.4161357528910897,284.0,0.2268319845571312,"{'weight_crowd': 0.07495471138740188, 'weight_tiny': 0.2970126706251011, 'weight_edge': 0.1662455119983784, 'weight_night': 0.4026711239907095, 'weight_blur': 0.05911598199840902, 'conf_easy': 0.35, 'conf_hard': 0.3, 'nms_easy': 0.4, 'nms_hard': 0.5, 'threshold_mid': 0.005061583846218687, 'threshold_high': 0.16080805141749865}",False,0.331394755605434,958.1110330288124,0.4372104887891319,COMPLETE
6,0.2260598411166382,284.0,37.46380290063259,2026-09-11 12:31:27.653540,2026-09-11 12:34:27.800273,0 days 00:03:00.146733,0.45,0.25,0.35,0.65,0.7121792213475359,0.5487337893665861,0.6519612595026005,0.22426930946055978,0.6918951976926933,0.3701587002554444,0.015456616528867428,0.5191609996894143,0.24255641303832687,44844.0,6993.0,37.46380290063259,0.35140698853808294,0.3990127944319954,284.0,0.2260598411166382,"{'weight_crowd': 0.1939647465266341, 'weight_tiny': 0.24456900457756034, 'weight_edge': 0.23045327788284975, 'weight_night': 0.07927403160908682, 'weight_blur': 0.251738939403869, 'conf_easy': 0.45, 'conf_hard': 0.25, 'nms_easy': 0.35, 'nms_hard': 0.65, 'threshold_mid': 0.015456616528867428, 'threshold_high': 0.3701587002554444}",False,0.3727701167254976,947.8341531974702,0.46584482491175355,COMPLETE
7,0.133907491276264,149.0,52.731773132191165,2026-09-11 12:34:27.976925,2026-09-11 12:36:59.180742,0 days 00:02:31.203817,0.35,0.3,0.35,0.5,0.8530094554673601,0.9283185625877254,0.9666548190436696,0.9636199770892528,0.42818414831731433,0.7019668772577033,0.795792669436101,0.450437402661326,0.13509087626479968,55728.0,2450.0,52.731773132191165,0.2451514855642971,0.23947329631995284,149.0,0.133907491276264,"{'weight_crowd': 0.22424307603160434, 'weight_tiny': 0.10343144519161082, 'weight_edge': 0.23350351788601895, 'weight_night': 0.2327704265501836, 'weight_blur': 0.20605153434058224, 'conf_easy': 0.35, 'conf_hard': 0.3, 'nms_easy': 0.35, 'nms_hard': 0.5, 'threshold_mid': 0.7019668772577033, 'threshold_high': 0.795792669436101}",True,0.3295122165841476,512.0,0.41146335024755715,COMPLETE
8,0.11536119979211523,114.0,57.6127457556192,2026-09-11 12:36:59.411842,2026-09-11 12:39:24.017920,0 days 00:02:24.606078,0.45,0.35,0.35,0.35,0.578280140996174,0.8900053418175663,0.375582952639944,0.093981939840869,0.3379951568515358,0.9626484146779251,0.8359801205122058,0.4564796678898679,0.11122428999426394,58012.0,1450.0,57.6127457556192,0.224165941578388,0.20860638951464264,114.0,0.11536119979211523,"{'weight_crowd': 0.3910657947766359, 'weight_tiny': 0.1485141025950084, 'weight_edge': 0.16503007226759134, 'weight_night': 0.04129539483826277, 'weight_blur': 0.2540946355225015, 'conf_easy': 0.45, 'conf_hard': 0.35, 'nms_easy': 0.35, 'nms_hard': 0.35, 'threshold_mid': 0.8359801205122058, 'threshold_high': 0.9626484146779251}",True,0.4168855085819245,512.0,0.35000000000000003,COMPLETE
9,0.1800876085826713,253.0,43.08484387808877,2026-09-11 12:39:24.198770,2026-09-11 12:42:07.321040,0 days 00:02:43.122270,0.45,0.25,0.6,0.65,0.25024289816459533,0.695974206093698,0.17329432007084578,0.15643704267108605,0.4089529444142699,0.3746126146264712,0.6258599157142364,0.4505094981626686,0.1962731206696154,49295.0,5669.0,43.08484387808877,0.2945327596761129,0.31790828428358076,253.0,0.1800876085826713,"{'weight_crowd': 0.4130652401254856, 'weight_tiny': 0.24271624538016678, 'weight_edge': 0.10285131159416806, 'weight_night': 0.09284640728014779, 'weight_blur': 0.14852079562003181, 'conf_easy': 0.45, 'conf_hard': 0.25, 'nms_easy': 0.6, 'nms_hard': 0.65, 'threshold_mid': 0.3746126146264712, 'threshold_high': 0.6258599157142364}",True,0.3846049473369705,675.8566408995081,0.6163487631657574,COMPLETE
